sample_id,policy,case_id,epoch,repeat_slot,global_seed,stable_seed,sample_key,mask_family,fallback_used,fallback_policy,volume_voxels,mask_to_brain_ratio,extent_x,extent_y,extent_z,elongation,bounding_box_fill_ratio,target_volume_voxels,size_policy,size_bin,background_overlap_ratio,distance_from_tumor_voxels,rejected_attempts,source_mask_id,source_case_id,mask_sha256,generation_metadata_json
fixed:BraTS-GLI-00018-000,fixed,BraTS-GLI-00018-000,0,0,,,BraTS-GLI-00018-000:legacy-fixed,fixed,False,,46011,0.031113404236903036,41,60,61,1.4878048780487805,0.30661735305877647,,provided,,,,0,,BraTS-GLI-00018-000,8b7f56f57d2d663fec3ea274fa8c0ed9d52a0b1f2f4e6869b1ade215e2af24a2,"{""case_id"": ""BraTS-GLI-00018-000"", ""mask_family"": ""fixed"", ""sample_key"": ""BraTS-GLI-00018-000:legacy-fixed"", ""size_policy"": ""provided""}"
random:BraTS-GLI-00018-000:epoch=0:slot=0,random,BraTS-GLI-00018-000,0,0,0,16899501802559754330,BraTS-GLI-00018-000:epoch=0:slot=0:seed=ea87175a1ea5d05a,tumor,False,,4866,0.003290470214009045,25,27,34,1.36,0.21202614379084966,4866,official_inverse,small,0.0016440608302507192,26.90724754333496,0,BraTS-GLI-00729-001:cc-074d8ab220d1eb95,BraTS-GLI-00729-001,d468131076168843c82eeddad35c28505895d20bc8217633c9d145ea2662bd82,"{""background_overlap_ratio"": 0.0016440608302507192, ""bounding_box"": [[120, 145], [48, 75], [25, 59]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 26.90724754333496, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 4866, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.003290470214009045, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 0, ""rejection_counts"": {}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=0:seed=ea87175a1ea5d05a"", ""seed"": 16899501802559754330, ""size_bin"": ""small"", ""size_policy"": ""official_inverse"", ""source_case_id"": ""BraTS-GLI-00729-001"", ""source_mask_id"": ""BraTS-GLI-00729-001:cc-074d8ab220d1eb95"", ""target_volume_voxels"": 4866, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [true, true, false], ""morphology"": ""none"", ""morphology_iterations"": 0, ""official_brain_index"": 1157, ""official_rank_window"": [94, 225], ""official_selected_index"": 122, ""official_size_range_tolerance"": 0.1, ""official_target_index"": 160, ""placement_center_voxels"": [132, 64, 39], ""rotation_degrees"": [133.54114162982998, 59.50524182472067], ""rotation_mode"": ""official_xy_yz"", ""source_kind"": ""tumor_annotation"", ""source_mask_to_brain_ratio"": 0.003953355924712374, ""source_volume_voxels"": 4866}}"
random:BraTS-GLI-00018-000:epoch=0:slot=1,random,BraTS-GLI-00018-000,0,1,0,14876029790607367674,BraTS-GLI-00018-000:epoch=0:slot=1:seed=ce7246472947ddfa,tumor,False,,8136,0.0055016986562222755,30,35,28,1.25,0.276734693877551,8143,official_inverse,small,0.0,5.099019527435303,0,BraTS-GLI-00028-000:cc-47c2fdebe53b9cf2,BraTS-GLI-00028-000,5d75f8c1b622e791d2abd1246705aabc73113fbcaa3a574ca648b7f49f67993b,"{""background_overlap_ratio"": 0.0, ""bounding_box"": [[114, 144], [43, 78], [70, 98]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 5.099019527435303, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 8136, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.0055016986562222755, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 0, ""rejection_counts"": {}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=1:seed=ce7246472947ddfa"", ""seed"": 14876029790607367674, ""size_bin"": ""small"", ""size_policy"": ""official_inverse"", ""source_case_id"": ""BraTS-GLI-00028-000"", ""source_mask_id"": ""BraTS-GLI-00028-000:cc-47c2fdebe53b9cf2"", ""target_volume_voxels"": 8143, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [false, true, true], ""morphology"": ""none"", ""morphology_iterations"": 0, ""official_brain_index"": 1157, ""official_rank_window"": [94, 225], ""official_selected_index"": 153, ""official_size_range_tolerance"": 0.1, ""official_target_index"": 160, ""placement_center_voxels"": [129, 60, 85], ""rotation_degrees"": [279.8105572987339, 120.77614827057812], ""rotation_mode"": ""official_xy_yz"", ""source_kind"": ""tumor_annotation"", ""source_mask_to_brain_ratio"": 0.005879817200721781, ""source_volume_voxels"": 8143}}"
random:BraTS-GLI-00018-000:epoch=0:slot=2,random,BraTS-GLI-00018-000,0,2,0,14512127436121940192,BraTS-GLI-00018-000:epoch=0:slot=2:seed=c9656f03bd3fa0e0,tumor,False,,11376,0.007692640598965659,31,32,37,1.1935483870967742,0.3099389712292938,11391,official_inverse,small,0.0,17.37814712524414,0,BraTS-GLI-00387-000:cc-880ce104b86dc7eb,BraTS-GLI-00387-000,1008f23756500fb7583f48cf3adbaf6366be2449c50a42dd0964c8360c13b4e0,"{""background_overlap_ratio"": 0.0, ""bounding_box"": [[136, 167], [121, 153], [95, 132]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 17.37814712524414, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 11376, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.007692640598965659, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 0, ""rejection_counts"": {}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=2:seed=c9656f03bd3fa0e0"", ""seed"": 14512127436121940192, ""size_bin"": ""small"", ""size_policy"": ""official_inverse"", ""source_case_id"": ""BraTS-GLI-00387-000"", ""source_mask_id"": ""BraTS-GLI-00387-000:cc-880ce104b86dc7eb"", ""target_volume_voxels"": 11391, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [false, true, false], ""morphology"": ""none"", ""morphology_iterations"": 0, ""official_brain_index"": 1157, ""official_rank_window"": [94, 225], ""official_selected_index"": 190, ""official_size_range_tolerance"": 0.1, ""official_target_index"": 160, ""placement_center_voxels"": [152, 135, 110], ""rotation_degrees"": [126.80744466067053, 141.5745800261804], ""rotation_mode"": ""official_xy_yz"", ""source_kind"": ""tumor_annotation"", ""source_mask_to_brain_ratio"": 0.009228368706991395, ""source_volume_voxels"": 11391}}"
random:BraTS-GLI-00018-000:epoch=0:slot=3,random,BraTS-GLI-00018-000,0,3,0,12727473815562522973,BraTS-GLI-00018-000:epoch=0:slot=3:seed=b0a1120090b0915d,tumor,False,,13142,0.008886839201090603,76,40,58,1.9,0.07453493647912886,13146,official_inverse,small,0.044970324151575106,14.866068840026855,0,BraTS-GLI-00367-000:cc-d90471ad562328e7,BraTS-GLI-00367-000,79546e1716d3aeeda9fbb96b16a8437937b4e2d5fa75768162a052c43b02fb23,"{""background_overlap_ratio"": 0.044970324151575106, ""bounding_box"": [[104, 180], [84, 124], [23, 81]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 14.866068840026855, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 13142, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.008886839201090603, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 0, ""rejection_counts"": {}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=3:seed=b0a1120090b0915d"", ""seed"": 12727473815562522973, ""size_bin"": ""small"", ""size_policy"": ""official_inverse"", ""source_case_id"": ""BraTS-GLI-00367-000"", ""source_mask_id"": ""BraTS-GLI-00367-000:cc-d90471ad562328e7"", ""target_volume_voxels"": 13146, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [false, true, false], ""morphology"": ""none"", ""morphology_iterations"": 0, ""official_brain_index"": 1157, ""official_rank_window"": [94, 225], ""official_selected_index"": 177, ""official_size_range_tolerance"": 0.1, ""official_target_index"": 160, ""placement_center_voxels"": [142, 104, 51], ""rotation_degrees"": [244.20582403511955, 275.0253635545613], ""rotation_mode"": ""official_xy_yz"", ""source_kind"": ""tumor_annotation"", ""source_mask_to_brain_ratio"": 0.00805104753645662, ""source_volume_voxels"": 13146}}"
random:BraTS-GLI-00018-000:epoch=0:slot=4,random,BraTS-GLI-00018-000,0,4,0,5462841347935861024,BraTS-GLI-00018-000:epoch=0:slot=4:seed=4bcfe94338087920,tumor,False,,6368,0.004306147620799342,18,41,28,2.2777777777777777,0.308168795973674,6388,official_inverse,small,0.000785175879396985,48.27007293701172,0,BraTS-GLI-00009-001:cc-7445a7f556a24a22,BraTS-GLI-00009-001,e40b1f66dfa0f6240004f54a48b2d7f8bddc692735e933cd33fbdb1f57e6d3d3,"{""background_overlap_ratio"": 0.000785175879396985, ""bounding_box"": [[164, 182], [53, 94], [47, 75]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 48.27007293701172, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 6368, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.004306147620799342, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 0, ""rejection_counts"": {}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=4:seed=4bcfe94338087920"", ""seed"": 5462841347935861024, ""size_bin"": ""small"", ""size_policy"": ""official_inverse"", ""source_case_id"": ""BraTS-GLI-00009-001"", ""source_mask_id"": ""BraTS-GLI-00009-001:cc-7445a7f556a24a22"", ""target_volume_voxels"": 6388, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [true, false, true], ""morphology"": ""none"", ""morphology_iterations"": 0, ""official_brain_index"": 1157, ""official_rank_window"": [94, 225], ""official_selected_index"": 141, ""official_size_range_tolerance"": 0.1, ""official_target_index"": 160, ""placement_center_voxels"": [172, 73, 60], ""rotation_degrees"": [182.5408174892753, 70.90789062054066], ""rotation_mode"": ""official_xy_yz"", ""source_kind"": ""tumor_annotation"", ""source_mask_to_brain_ratio"": 0.0048920689208883225, ""source_volume_voxels"": 6388}}"
weighted:BraTS-GLI-00018-000:epoch=0:slot=0,weighted,BraTS-GLI-00018-000,0,0,0,16899501802559754330,BraTS-GLI-00018-000:epoch=0:slot=0:seed=ea87175a1ea5d05a,tumor,False,,56373,0.0381203611537879,53,60,50,1.2,0.35454716981132073,59765,empirical,medium,0.0,5.0,2,BraTS-GLI-00322-000:cc-2b4b0084ea96ad13,BraTS-GLI-00322-000,1d283363b8c5310c694aaf6acb919c9daf51f4912b731f0ee4633e7baad64086,"{""background_overlap_ratio"": 0.0, ""bounding_box"": [[123, 176], [83, 143], [47, 97]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 5.0, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 56373, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.0381203611537879, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 2, ""rejection_counts"": {""background_overlap"": 2}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=0:seed=ea87175a1ea5d05a"", ""seed"": 16899501802559754330, ""size_bin"": ""medium"", ""size_policy"": ""empirical"", ""source_case_id"": ""BraTS-GLI-00322-000"", ""source_mask_id"": ""BraTS-GLI-00322-000:cc-2b4b0084ea96ad13"", ""target_volume_voxels"": 59765, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [true, true, false], ""morphology"": ""none"", ""morphology_iterations"": 0, ""placement_center_voxels"": [149, 113, 72], ""rotation_degrees"": [-46.45885837017002, -120.49475817527933, 4.812556137003185], ""rotation_mode"": ""bounded_euler"", ""source_kind"": ""tumor_annotation"", ""source_volume_voxels"": 56426}}"
weighted:BraTS-GLI-00018-000:epoch=0:slot=1,weighted,BraTS-GLI-00018-000,0,1,0,14876029790607367674,BraTS-GLI-00018-000:epoch=0:slot=1:seed=ce7246472947ddfa,tumor,False,,86609,0.05856644775279683,68,71,82,1.2058823529411764,0.21876704993230545,107667,empirical,medium,0.14709787666408802,18.384777069091797,7,BraTS-GLI-00654-000:cc-2edcc0fee32b312a,BraTS-GLI-00654-000,8c2b48ad6b56a52140128ea094a1d2d78610206ea1a34661aab07546c9132768,"{""background_overlap_ratio"": 0.14709787666408802, ""bounding_box"": [[120, 188], [58, 129], [0, 82]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 18.384777069091797, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 86609, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.05856644775279683, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 7, ""rejection_counts"": {""background_overlap"": 3, ""target_volume_mismatch"": 1, ""tumor_overlap"": 3}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=1:seed=ce7246472947ddfa"", ""seed"": 14876029790607367674, ""size_bin"": ""medium"", ""size_policy"": ""empirical"", ""source_case_id"": ""BraTS-GLI-00654-000"", ""source_mask_id"": ""BraTS-GLI-00654-000:cc-2edcc0fee32b312a"", ""target_volume_voxels"": 107667, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [false, true, true], ""morphology"": ""none"", ""morphology_iterations"": 0, ""placement_center_voxels"": [154, 93, 41], ""rotation_degrees"": [99.8105572987339, -59.22385172942188, -125.86593439830355], ""rotation_mode"": ""bounded_euler"", ""source_kind"": ""tumor_annotation"", ""source_volume_voxels"": 86616}}"
weighted:BraTS-GLI-00018-000:epoch=0:slot=2,weighted,BraTS-GLI-00018-000,0,2,0,14512127436121940192,BraTS-GLI-00018-000:epoch=0:slot=2:seed=c9656f03bd3fa0e0,tumor,False,,108218,0.07317881332092702,85,64,61,1.3934426229508197,0.3261149951783992,106532,empirical,medium,0.13532868838825335,13.892443656921387,21,BraTS-GLI-01158-000:cc-ec51ebb63fc61178,BraTS-GLI-01158-000,3878ced2876f895cce96cf5a8746fcc7136c28d4230e2b33b11c7748124e164d,"{""background_overlap_ratio"": 0.13532868838825335, ""bounding_box"": [[130, 215], [53, 117], [46, 107]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 13.892443656921387, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 108218, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.07317881332092702, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 21, ""rejection_counts"": {""background_overlap"": 11, ""tumor_distance"": 4, ""tumor_overlap"": 6}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=2:seed=c9656f03bd3fa0e0"", ""seed"": 14512127436121940192, ""size_bin"": ""medium"", ""size_policy"": ""empirical"", ""source_case_id"": ""BraTS-GLI-01158-000"", ""source_mask_id"": ""BraTS-GLI-01158-000:cc-ec51ebb63fc61178"", ""target_volume_voxels"": 106532, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [false, true, false], ""morphology"": ""none"", ""morphology_iterations"": 0, ""placement_center_voxels"": [172, 85, 76], ""rotation_degrees"": [-53.19255533932947, -38.4254199738196, -12.865730827591364], ""rotation_mode"": ""bounded_euler"", ""source_kind"": ""tumor_annotation"", ""source_volume_voxels"": 108343}}"
weighted:BraTS-GLI-00018-000:epoch=0:slot=3,weighted,BraTS-GLI-00018-000,0,3,0,12727473815562522973,BraTS-GLI-00018-000:epoch=0:slot=3:seed=b0a1120090b0915d,tumor,False,,43737,0.0295756875770887,48,52,46,1.1304347826086956,0.38093122909698995,39860,empirical,medium,0.012529437318517501,13.379088401794434,3,BraTS-GLI-01131-000:cc-484397aac9fc26cf,BraTS-GLI-01131-000,95839e618b3d39f4761d9305a6a02eb60e6e78ad6c4deac05c629b554ab251c5,"{""background_overlap_ratio"": 0.012529437318517501, ""bounding_box"": [[108, 156], [147, 199], [61, 107]], ""case_id"": ""BraTS-GLI-00018-000"", ""connected_component_count"": 1, ""distance_from_tumor_voxels"": 13.379088401794434, ""fallback_policy"": null, ""fallback_used"": false, ""final_volume_voxels"": 43737, ""mask_family"": ""tumor"", ""mask_to_brain_ratio"": 0.0295756875770887, ""placement_category"": ""brain_valid"", ""rejected_attempts"": 3, ""rejection_counts"": {""background_overlap"": 2, ""tumor_distance"": 1}, ""sample_key"": ""BraTS-GLI-00018-000:epoch=0:slot=3:seed=b0a1120090b0915d"", ""seed"": 12727473815562522973, ""size_bin"": ""medium"", ""size_policy"": ""empirical"", ""source_case_id"": ""BraTS-GLI-01131-000"", ""source_mask_id"": ""BraTS-GLI-01131-000:cc-484397aac9fc26cf"", ""target_volume_voxels"": 39860, ""transform_parameters"": {""anisotropic_scale"": [1.0, 1.0, 1.0], ""bank_id"": ""565a12f35d4cda9f"", ""boundary_perturbation_strength"": 0.0, ""flips"": [false, true, false], ""morphology"": ""none"", ""morphology_iterations"": 0, ""placement_center_voxels"": [132, 173, 84], ""rotation_degrees"": [64.20582403511955, 95.0253635545613, 64.84313334812217], ""rotation_mode"": ""bounded_euler"", ""source_kind"": ""tumor_annotation"", ""source_volume_voxels"": 43800}}"
